idDeal,investor,company,state,type,date,size,industry,revenue,ebitda,debt
76379,1315 Capital,"Biocoat, Inc.",Pennsylvania,Buyout,12/20/2018,989.63208,Chemicals,783.0092199943409,14.00678658822257,29
79023,1315 Capital,Restorative Therapies,Maryland,Buyout,12/19/2018,1428.3776,Medical Devices,3756.003107462528,14.00517243949402,13.90124923242016
78968,1315 Capital,Centurion Service Group,Illinois,Buyout,10/18/2018,1440.5039,Medical Devices,746.851972076927,14.00135668331463,111.7087565085304
78353,3 Rivers Capital,"Amazing Care Home Health Services, Inc.",Colorado,Buyout,11/2/2018,.13405271,Healthcare,862.4169752913497,14.00706683063585,80.00947116454583
73519,39 North Capital Partners,"Eegee's, Inc.",Arizona,Buyout,10/5/2018,150.00508,Restaurants,862.4117910829575,14.00525773048106,35.47833008363636
68057,3i,"International Cruise & Excursions, Inc.",Arizona,Buyout,4/24/2018,150,Leisure,862.41,14.00256195116494,35.47425557298379
69513,A&M Capital Partners,"Paramedics Plus, L.L.C.",Texas,Buyout,2/16/2018,6.1283512,Healthcare,2200.003688138868,14.003060037379,1961.54775651617
74364,A&M Capital Partners,"Pritchard Industries, Inc.",New York,Buyout,10/1/2018,3100.0017,Business Services,2550.001847642955,358.0012966176361,170
67747,A&M Capital Partners,"Client Network Services, Inc.",Maryland,Buyout,4/4/2018,1428.3746,Outsourcing,3756.004367619271,14.00823919532526,83.89470080603699
68327,Abacus Finance,"Transnetyx, Inc.",Tennessee,Buyout,3/22/2018,200.00278,Healthcare,1800.000345605415,14.00466097762514,25.2
67701,Abacus Finance,Quest Software Inc.,Michigan,Buyout,4/10/2018,12.321623,Software,862.4189952135987,14.00828508158851,11.70488375399838
67428,Abacus Finance,YX Genomics Holding Corporation,Tennessee,Buyout,3/22/2018,6700.0024,Biotechnology,1800.00867773443,14.00464839312885,22.5
73521,Abbey Road Capital,"Convert IT Marketing, Inc.",Florida,Buyout,8/31/2018,400.00909,Software,89.60816340700667,34.60214055086618,6
66159,ABDD Capital,24 Taco Bell Stores,Kentucky,Buyout,2/5/2018,1092.1843,Restaurants,1700.004898513886,136.0035801797987,4.590637500218869
